"Payment_ID","Member_ID","Subscription_ID","Payment_Date","Final_Amount","Payment_Mode"
"P00001","M3098","S001","2022-01-17","2124","Card"
"P00002","M3397","S002","2022-01-17","5074","Cash"
"P00003","M5421","S003","2022-01-17","2124","Cash"
"P00004","M704","S004","2022-01-17","18880","UPI"
"P00005","M4722","S005","2022-01-18","18880","UPI"
"P00006","M1719","S006","2022-01-19","1770","UPI"
"P00007","M2412","S007","2022-01-19","1770","Net Banking"
"P00008","M1099","S008","2022-01-20","5546","Cash"
"P00009","M1912","S009","2022-01-20","2124","Card"
"P00010","M1311","S010","2022-01-21","1770","UPI"
"P00011","M4366","S011","2022-01-21","2124","Card"
"P00012","M1122","S012","2022-01-22","5546","Net Banking"
"P00013","M3096","S013","2022-01-22","5074","Net Banking"
"P00014","M4168","S014","2022-01-22","5546","Net Banking"
"P00015","M4280","S015","2022-01-23","5074","Net Banking"
"P00016","M989","S016","2022-01-23","5546","UPI"
"P00017","M234","S017","2022-01-23","18880","Cash"
"P00018","M2917","S018","2022-01-24","18880","Card"
"P00019","M2328","S019","2022-01-25","2124","Cash"
"P00020","M4234","S020","2022-01-26","5074","Net Banking"
"P00021","M1083","S021","2022-01-27","5546","Cash"
"P00022","M1453","S022","2022-01-28","1770","UPI"
"P00023","M1869","S023","2022-01-28","2124","Cash"
"P00024","M5619","S024","2022-01-28","22420","Card"
"P00025","M4217","S025","2022-01-29","18880","UPI"
"P00026","M1343","S026","2022-01-30","5546","Net Banking"
"P00027","M2030","S027","2022-01-30","22420","Net Banking"
"P00028","M4116","S028","2022-01-31","2124","UPI"
"P00029","M1486","S029","2022-02-02","5546","UPI"
"P00030","M3113","S030","2022-02-02","5546","UPI"
"P00031","M1100","S031","2022-02-03","2124","Card"
"P00032","M1757","S032","2022-02-03","5074","UPI"
"P00033","M4514","S033","2022-02-03","5546","Cash"
"P00034","M861","S034","2022-02-03","2124","UPI"
"P00035","M2591","S035","2022-02-04","5546","Card"
"P00036","M3784","S036","2022-02-04","5074","Net Banking"
"P00037","M5170","S037","2022-02-04","1770","UPI"
"P00038","M287","S038","2022-02-05","5074","Net Banking"
"P00039","M3063","S039","2022-02-05","5074","UPI"
"P00040","M482","S040","2022-02-05","5074","UPI"
"P00041","M543","S041","2022-02-05","22420","Card"
"P00042","M5513","S042","2022-02-05","5546","Net Banking"
"P00043","M3597","S043","2022-02-06","1770","Cash"
"P00044","M5023","S044","2022-02-06","18880","Net Banking"
"P00045","M947","S045","2022-02-07","18880","UPI"
"P00046","M3508","S046","2022-02-09","5074","Net Banking"
"P00047","M3897","S047","2022-02-09","2124","UPI"
"P00048","M4066","S048","2022-02-09","22420","Card"
"P00049","M4696","S049","2022-02-09","1770","Cash"
"P00050","M446","S050","2022-02-10","18880","Card"
"P00051","M4936","S051","2022-02-10","22420","Cash"
"P00052","M2968","S052","2022-02-11","5074","Cash"
"P00053","M4153","S053","2022-02-11","5074","Net Banking"
"P00054","M1691","S054","2022-02-12","5074","Card"
"P00055","M4608","S055","2022-02-12","5546","Card"
"P00056","M5086","S056","2022-02-12","22420","UPI"
"P00057","M937","S057","2022-02-12","18880","Card"
