"Subscription_ID","Member_ID","Plan_ID","Start_Date","End_Date","Sub_Amount","Branch_ID"
"S001","M3098","P2","2022-01-17","2022-02-16","1800","B01"
"S002","M3397","P3","2022-01-17","2022-04-17","4300","B01"
"S003","M5421","P2","2022-01-17","2022-02-16","1800","B01"
"S004","M704","P5","2022-01-17","2023-01-17","16000","B01"
"S005","M4722","P5","2022-01-18","2023-01-18","16000","B01"
"S006","M1719","P6","2022-01-19","2022-02-18","1500","B01"
"S007","M2412","P6","2022-01-19","2022-02-18","1500","B01"
"S008","M1099","P1","2022-01-20","2022-04-20","4700","B01"
"S009","M1912","P2","2022-01-20","2022-02-19","1800","B01"
"S010","M1311","P6","2022-01-21","2022-02-20","1500","B01"
"S011","M4366","P2","2022-01-21","2022-02-20","1800","B01"
"S012","M1122","P1","2022-01-22","2022-04-22","4700","B01"
"S013","M3096","P3","2022-01-22","2022-04-22","4300","B01"
"S014","M4168","P1","2022-01-22","2022-04-22","4700","B01"
"S015","M4280","P3","2022-01-23","2022-04-23","4300","B01"
"S016","M989","P1","2022-01-23","2022-04-23","4700","B01"
"S017","M234","P5","2022-01-23","2023-01-23","16000","B01"
"S018","M2917","P5","2022-01-24","2023-01-24","16000","B01"
"S019","M2328","P2","2022-01-25","2022-02-24","1800","B01"
"S020","M4234","P3","2022-01-26","2022-04-26","4300","B01"
"S021","M1083","P1","2022-01-27","2022-04-27","4700","B01"
"S022","M1453","P6","2022-01-28","2022-02-27","1500","B01"
"S023","M1869","P2","2022-01-28","2022-02-27","1800","B01"
"S024","M5619","P4","2022-01-28","2023-01-28","19000","B01"
"S025","M4217","P5","2022-01-29","2023-01-29","16000","B01"
"S026","M1343","P1","2022-01-30","2022-04-30","4700","B01"
"S027","M2030","P4","2022-01-30","2023-01-30","19000","B01"
"S028","M4116","P2","2022-01-31","2022-03-02","1800","B01"
"S029","M1486","P1","2022-02-02","2022-05-03","4700","B01"
"S030","M3113","P1","2022-02-02","2022-05-03","4700","B01"
"S031","M1100","P2","2022-02-03","2022-03-05","1800","B01"
"S032","M1757","P3","2022-02-03","2022-05-04","4300","B01"
"S033","M4514","P1","2022-02-03","2022-05-04","4700","B01"
"S034","M861","P2","2022-02-03","2022-03-05","1800","B01"
"S035","M2591","P1","2022-02-04","2022-05-05","4700","B01"
"S036","M3784","P3","2022-02-04","2022-05-05","4300","B01"
"S037","M5170","P6","2022-02-04","2022-03-06","1500","B01"
"S038","M287","P3","2022-02-05","2022-05-06","4300","B01"
"S039","M3063","P3","2022-02-05","2022-05-06","4300","B01"
"S040","M482","P3","2022-02-05","2022-05-06","4300","B01"
"S041","M543","P4","2022-02-05","2023-02-05","19000","B01"
"S042","M5513","P1","2022-02-05","2022-05-06","4700","B01"
"S043","M3597","P6","2022-02-06","2022-03-08","1500","B01"
"S044","M5023","P5","2022-02-06","2023-02-06","16000","B01"
"S045","M947","P5","2022-02-07","2023-02-07","16000","B01"
"S046","M3508","P3","2022-02-09","2022-05-10","4300","B01"
"S047","M3897","P2","2022-02-09","2022-03-11","1800","B01"
"S048","M4066","P4","2022-02-09","2023-02-09","19000","B01"
"S049","M4696","P6","2022-02-09","2022-03-11","1500","B01"
"S050","M446","P5","2022-02-10","2023-02-10","16000","B01"
"S051","M4936","P4","2022-02-10","2023-02-10","19000","B01"
"S052","M2968","P3","2022-02-11","2022-05-12","4300","B01"
